### lut_RL_ST NOISE! ###
id;sndfnA;sndfnB;sndfnC
1;sot.wav;X_mofig.wav;toef.wav
2;sot.wav;X_seta.wav;toef.wav
3;sot.wav;X_wiffel.wav;toef.wav
4;sot.wav;X_rogges.wav;toef.wav
5;sot.wav;X_kengel.wav;toef.wav
6;sot.wav;X_kasi.wav;toef.wav
7;sot.wav;X_loga.wav;toef.wav
8;sot.wav;X_snigger.wav;toef.wav
9;sot.wav;X_noeba.wav;toef.wav
10;sot.wav;X_domo.wav;toef.wav
11;sot.wav;X_wadim.wav;toef.wav
12;sot.wav;X_banip.wav;toef.wav
13;sot.wav;X_rajee.wav;toef.wav
14;sot.wav;X_plizet.wav;toef.wav
15;sot.wav;X_naspoe.wav;toef.wav
16;sot.wav;X_fidan.wav;toef.wav
17;sot.wav;X_nilbo.wav;toef.wav
18;sot.wav;X_poemer.wav;toef.wav
19;sot.wav;X_mofig.wav;lut.wav
20;sot.wav;X_seta.wav;lut.wav
21;sot.wav;X_wiffel.wav;lut.wav
22;sot.wav;X_rogges.wav;lut.wav
23;sot.wav;X_kengel.wav;lut.wav
24;sot.wav;X_kasi.wav;lut.wav
25;rak.wav;X_loga.wav;lut.wav
26;rak.wav;X_snigger.wav;lut.wav
27;rak.wav;X_noeba.wav;lut.wav
28;rak.wav;X_domo.wav;lut.wav
29;rak.wav;X_wadim.wav;lut.wav
30;rak.wav;X_banip.wav;lut.wav
31;rak.wav;X_rajee.wav;lut.wav
32;rak.wav;X_plizet.wav;lut.wav
33;rak.wav;X_naspoe.wav;lut.wav
34;rak.wav;X_fidan.wav;lut.wav
35;rak.wav;X_nilbo.wav;lut.wav
36;rak.wav;X_poemer.wav;lut.wav
